,0,1
168,The Temptations,Papa Was a Rollin' Stone
169,R.E.M.,Losing My Religion
170,Joni Mitchell,Both Sides Now
171,ABBA,Dancing Queen
172,Aerosmith,Dream On
173,Sex Pistols,God Save the Queen
174,The Rolling Stones,Paint It Black
175,The Bobby Fuller Four,I Fought the Law
176,The Beach Boys,Don't Worry Baby
177,Tom Petty and The Heartbreakers,Free Fallin'
178,Big Star,September Gurls
179,Joy Division,Love Will Tear Us Apart
180,OutKast,Hey Ya! [Radio Mix]
181,Booker T & The MG's,Green Onions
182,The Drifters,Save the Last Dance for Me
183,B.B. King,The Thrill Is Gone
184,The Beatles,Please Please Me
185,Bob Dylan,Desolation Row
186,Aretha Franklin,I Never Loved a Man (The Way I Love You)
187,AC/DC,Back in Black
188,Creedence Clearwater Revival,Who'll Stop the Rain
189,Bee Gees,Stayin' Alive
190,Bob Dylan,Knockin' on Heaven's Door
191,Lynyrd Skynyrd,Free Bird
192,Glen Campbell,Wichita Lineman
193,The Drifters,There Goes My Baby
194,Buddy Holly,Peggy Sue
195,The Chantels,Maybe
196,Guns N' Roses,Sweet Child O' Mine
197,Elvis Presley,Don't Be Cruel
198,Jimi Hendrix,Hey Joe
199,Parliament,Flashlight
200,Beck,Loser
201,New Order,Bizarre Love Triangle
202,The Beatles,Come Together
203,Bob Dylan,Positively 4th Street
204,Otis Redding,Try a Little Tenderness
205,Bill Withers,Lean on Me
206,Four Tops,Reach Out (I'll Be There)
207,Everly Brothers,Bye Bye Love
208,Van Morrison with Them,Gloria
209,The Beach Boys,In My Room
210,? & The Mysterians,96 Tears
211,The Beach Boys,"Caroline, No"
212,Prince,1999
213,Hank Williams,Your Cheatin' Heart
214,Neil Young,Rockin' in the Free World
215,The Chords,Sh-Boom
216,The Lovin' Spoonful,Do You Believe in Magic
217,Dolly Parton,Jolene
218,John Lee Hooker,Boom Boom
219,Howlin' Wolf,Spoonful
220,The Left Banke,Walk Away Renee
221,Lou Reed,Walk on the Wild Side
222,Roy Orbison,"Oh, Pretty Woman"
223,Sly & The Family Stone,Dance to the Music
224,Chic,Good Times
225,Muddy Waters,I'm Your Hoochie Coochie Man
226,Van Morrison,Moondance
227,James Taylor,Fire And Rain
228,The Clash,Should I Stay or Should I Go?
229,Muddy Waters,Mannish Boy
230,Bob Dylan,Just Like a Woman
231,Marvin Gaye,Sexual Healing
232,Roy Orbison,Only the Lonely (Know How I Feel)
233,The Animals,We Gotta Get Out of This Place
234,The Byrds,I'll Feel a Whole Lot Better
235,Ray Charles,I've Got a Woman
236,Buddy Holly,Everyday
237,Afrika Bambaataa & Soulsonic Force,Planet Rock
238,Patsy Cline,I Fall to Pieces
239,Dion,The Wanderer
240,Dusty Springfield,Son of a Preacher Man
241,Sly & The Family Stone,Stand
242,Elton John,Rocket Man
243,The B-52's,Love Shack
244,The Spencer Davis Group,Gimme Some Lovin'
245,The Band,The Night They Drove Old Dixie Down
246,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher
247,Sly & The Family Stone,Hot Fun in the Summertime
248,Sugarhill Gang,Rapper's Delight
249,Aretha Franklin,Chain of Fools
250,Black Sabbath,Paranoid
251,Bobby Darin,Mack the Knife
252,Clyde McPhatter & The Drifters,Money Honey
253,Mott the Hoople,All the Young Dudes
254,AC/DC,Highway to Hell
255,Blondie,Heart of Glass
256,Radiohead,Paranoid Android
